"Index","Ensembl.ID","Gene.name"
461,"ENSG00000255153","TOLLIP-AS1"
462,"ENSG00000261663","AC009065.8"
463,"ENSG00000196227","FAM217B"
464,"ENSG00000249996","AC106786.2"
465,"ENSG00000248842","AC011396.1"
466,"ENSG00000230080","AC139143.1"
467,"ENSG00000253829","AC067817.2"
468,"ENSG00000072694","FCGR2B"
469,"ENSG00000188186","LAMTOR4"
470,"ENSG00000175309","PHYKPL"
471,"ENSG00000212211","U3"
472,"ENSG00000275592","VN1R7P"
473,"ENSG00000248935","AC034234.1"
474,"ENSG00000150477","KIAA1328"
475,"ENSG00000231203","KRT8P10"
476,"ENSG00000236489","AC133473.1"
477,"ENSG00000238731","RNU7-90P"
478,"ENSG00000011052","NME1-NME2"
479,"ENSG00000236690","AC007274.2"
480,"ENSG00000181649","PHLDA2"
481,"ENSG00000110395","CBL"
482,"ENSG00000223922","ASS1P2"
483,"ENSG00000254425","AC022690.1"
485,"ENSG00000107018","RLN1"
486,"ENSG00000248480","AC093801.2"
487,"ENSG00000254174","IGHV1-12"
488,"ENSG00000239679","RN7SL193P"
489,"ENSG00000228790","AC245128.2"
490,"ENSG00000260799","KRT8P50"
491,"ENSG00000128973","CLN6"
492,"ENSG00000100842","EFS"
493,"ENSG00000234363","PPIAP27"
496,"ENSG00000223905","AC103592.1"
497,"ENSG00000116285","ERRFI1"
498,"ENSG00000244756","AL049874.2"
499,"ENSG00000167880","EVPL"
500,"ENSG00000265948","AC015878.2"
501,"ENSG00000270930","GRAMD4P8"
502,"ENSG00000279273","AC120024.4"
503,"ENSG00000139656","SMIM2"
504,"ENSG00000232140","AC073257.1"
505,"ENSG00000254418","SPON1-AS1"
506,"ENSG00000104998","IL27RA"
507,"ENSG00000278530","CHMP1B2P"
508,"ENSG00000279952","AC068787.1"
509,"ENSG00000230806","SRGAP2-AS1"
510,"ENSG00000082068","WDR70"
511,"ENSG00000258064","AC073612.1"
512,"ENSG00000186723","OR10H1"
513,"ENSG00000137948","BRDT"
515,"ENSG00000165312","OTUD1"
516,"ENSG00000235204","AL162724.2"
517,"ENSG00000136319","TTC5"
518,"ENSG00000249915","PDCD6"
519,"ENSG00000232167","AC137675.1"
520,"ENSG00000277073","MIR6131"
521,"ENSG00000244657","AC008267.6"
522,"ENSG00000241231","AC022294.1"
523,"ENSG00000255774","AP000439.2"
524,"ENSG00000181991","MRPS11"
525,"ENSG00000226544","RPL7P22"
526,"ENSG00000201920","RNA5SP442"
527,"ENSG00000079819","EPB41L2"
528,"ENSG00000234460","AL772337.3"
